Title,Original order,Original rating,Adjusted rating,Number of ratings,Number of oscars
A Gyûrûk Ura: A király visszatér,7,9,9.8,1760746,11
A sötét lovag,3,9.1,9.4,2511722,2
A remény rabjai,1,9.3,9.3,2555477,0
Forrest Gump,11,8.8,9.3,1972175,6
A keresztapa,2,9.2,9.0,1759011,3
Eredet,13,8.8,9.0,2244224,4
Schindler listája,6,9,8.8,1303750,7
A keresztapa II,4,9,8.7,1218641,6
Ponyvaregény,8,8.9,8.7,1964295,1
A Gyûrûk Ura: A gyûrû szövetsége,9,8.9,8.7,1782689,4
Mátrix,16,8.7,8.5,1842314,4
Harcosok klubja,12,8.8,8.3,2011923,0
A Gyûrûk Ura: A két torony,14,8.8,8.2,1590790,2
A Birodalom visszavág,15,8.7,7.7,1238262,2
Száll a kakukk fészkére,18,8.7,7.7,975651,5
Hetedik,19,8.6,7.7,1567271,0
Nagymenõk,17,8.7,7.6,1103989,1
Tizenkét dühös ember,5,9,7.2,755196,0
"A Jó, a Rossz és a Csúf",10,8.8,7.0,736505,0
A hét szamuráj,20,8.7,6.5,336469,0
